acc,Bamfordvirae,Fungi,Heunggongvirae,Loebvirae,Metazoa,Orthornavirae,Pararnavirae,Sangervirae,Shotokuvirae,Viridiplantae,class
SRR18588465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0
SRR18588469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
SRR18588480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,388.0,0
SRR18588485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0
SRR18588487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0
SRR18588490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1
SRR18588491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588492,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0
SRR18588493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SRR18588499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
SRR18588501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
SRR18588502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1
SRR18588503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0
SRR18588504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1
SRR18588505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1
SRR18588506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0
SRR18588508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1
SRR18588509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1
SRR18588510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1
SRR18588511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0
SRR18588512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0
SRR18588513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1
SRR18588515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1
SRR18588516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1
SRR18588517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1
SRR18588518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1
SRR18588519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0
SRR18588520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1
SRR18588521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0
SRR18588522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0
SRR18588523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0
SRR18588524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0
SRR18588525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0
SRR18588526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0
SRR18588527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR18588528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1
SRR18588529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0
SRR18588530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1
SRR18588531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1
SRR18588532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1
SRR18588533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR18588534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1
SRR18588536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1
SRR18588537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1
SRR18588538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0
SRR18588540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1
SRR18588541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,1
SRR18588543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1
SRR18588544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0
SRR18588546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1
SRR18588547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0
SRR18588548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0
SRR18588549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0
SRR18588550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0
