acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807226,1855.0,0.0,201.0,0.0,0.0,0.0,0.0,50289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807227,3758.0,0.0,332.0,0.0,0.0,0.0,0.0,57777.0,0.0,0.0,0.0,0.0,11046.0,0.0,35.0,0.0,0.0,1
SRR11807228,2501.0,0.0,0.0,0.0,0.0,0.0,0.0,41145.0,0.0,0.0,0.0,0.0,35910.0,0.0,0.0,0.0,0.0,1
SRR11807229,2974.0,0.0,123.0,0.0,1.0,0.0,0.0,43519.0,0.0,0.0,0.0,0.0,10442.0,0.0,0.0,0.0,0.0,1
SRR11807230,3406.0,0.0,251.0,0.0,0.0,0.0,0.0,49028.0,0.0,0.0,0.0,0.0,11877.0,0.0,26.0,0.0,0.0,1
SRR11807231,5228.0,0.0,0.0,0.0,0.0,0.0,0.0,100568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807232,5506.0,0.0,0.0,0.0,0.0,0.0,0.0,130432.0,0.0,0.0,0.0,0.0,37541.0,0.0,0.0,0.0,0.0,1
SRR11807233,3790.0,0.0,2.0,0.0,0.0,0.0,0.0,79981.0,0.0,0.0,0.0,0.0,12310.0,0.0,0.0,0.0,0.0,1
SRR11807234,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,35378.0,0.0,0.0,0.0,0.0,35926.0,0.0,0.0,0.0,0.0,1
SRR11807235,2451.0,0.0,0.0,0.0,0.0,0.0,0.0,18864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807236,4632.0,0.0,0.0,0.0,0.0,0.0,0.0,31018.0,1.0,0.0,0.0,0.0,37690.0,0.0,0.0,0.0,0.0,1
SRR11807237,6291.0,0.0,627.0,0.0,0.0,0.0,0.0,49309.0,0.0,0.0,0.0,0.0,11338.0,0.0,0.0,0.0,0.0,1
SRR11807238,1311.0,0.0,488.0,0.0,0.0,0.0,0.0,49439.0,0.0,0.0,0.0,0.0,41865.0,0.0,23.0,0.0,0.0,1
SRR11807239,1522.0,0.0,0.0,0.0,0.0,0.0,0.0,25989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807240,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,24927.0,0.0,0.0,0.0,0.0,31172.0,0.0,0.0,0.0,0.0,1
SRR11807241,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,31032.0,0.0,0.0,1.0,0.0,10487.0,0.0,0.0,0.0,0.0,1
SRR11807242,185.0,0.0,925.0,1.0,0.0,0.0,0.0,46735.0,1.0,0.0,0.0,0.0,43992.0,0.0,0.0,0.0,0.0,1
SRR11807243,855.0,0.0,20.0,0.0,0.0,0.0,0.0,46115.0,1.0,0.0,0.0,0.0,42247.0,0.0,0.0,0.0,0.0,1
SRR11807244,439.0,0.0,165.0,0.0,0.0,0.0,3.0,36323.0,0.0,0.0,0.0,0.0,49439.0,0.0,0.0,0.0,0.0,1
SRR11807245,2274.0,0.0,0.0,0.0,0.0,0.0,0.0,145296.0,0.0,0.0,0.0,0.0,52330.0,0.0,0.0,0.0,0.0,1
SRR11807246,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,53765.0,54.0,0.0,0.0,0.0,44133.0,0.0,0.0,0.0,0.0,1
SRR11807247,2223.0,0.0,6.0,0.0,0.0,0.0,0.0,68971.0,0.0,0.0,0.0,0.0,37067.0,0.0,0.0,0.0,0.0,1
